0.1	-0.5411	36	-0.4369	0.07798	-0.00174	-0.04414
0.2	1.513	81	1.097	0.08427	-0.001662	0.06207
0.3	-1.393	155	-1.879	0.1178	-0.002558	-0.1222
0.4	0.6716	187	0.449	0.1863	-0.008585	-0.07207
0.5	-1.122	220	-0.6928	0.2246	-0.012	-0.1371
0.6	0.4147	268	0.4647	0.3174	-0.02594	-0.09057
0.7	-0.7011	294	-0.3976	0.3727	-0.03105	-0.1326
0.8	-0.4712	360	-0.7996	0.5409	-0.05529	-0.2157
0.9	0.6964	424	1.009	0.6403	-0.07615	-0.1012
1	-1.466	460	-0.9122	0.6756	-0.07469	-0.1899
1.1	-1.061	533	-1.677	0.7345	-0.09839	-0.3651
1.2	-0.8378	602	-1.388	0.853	-0.1444	-0.5048
1.3	0.1815	672	0.3087	1.008	-0.2183	-0.4693
1.4	0.599	761	1.265	1.172	-0.3046	-0.3465
1.5	-0.6765	801	-0.6505	1.259	-0.3178	-0.3928
1.6	-0.5875	845	-0.5691	1.275	-0.3721	-0.4486
1.7	0.4538	885	0.4129	1.391	-0.4127	-0.4258
1.8	-0.3725	970	-0.7815	1.611	-0.4817	-0.4897
1.9	-1.38	1065	-2.241	1.611	-0.5146	-0.7527
2	0.5473	1117	0.7023	1.646	-0.58	-0.6605
2.1	-0.6472	1215	-1.484	1.842	-0.7072	-0.8099
2.2	-0.474	1292	-0.8932	1.97	-0.8195	-0.8806
2.3	0	1395	0	2.169	-1.056	-0.8983
2.4	-1.538	1432	-0.8761	2.106	-1.037	-0.9753
2.5	0.9802	1527	1.962	2.15	-1.165	-0.7631
2.6	0.237	1621	0.5467	2.307	-1.282	-0.7095
2.7	0.3686	1667	0.4272	2.433	-1.349	-0.6754
2.8	0.05498	1713	0.05523	2.565	-1.43	-0.7042
2.9	-0.4276	1748	-0.3456	2.496	-1.493	-0.7046
3	-0.8796	1844	-1.77	2.604	-1.58	-0.8815
3.1	0.1246	1913	0.2014	2.789	-1.742	-0.9055
3.2	1.111	1992	1.768	2.849	-1.839	-0.7179
3.3	0.08814	2089	0.2074	2.968	-1.976	-0.6971
3.4	-1.313	2150	-1.506	3.025	-1.963	-0.8295
3.5	1.513	2183	0.8215	2.968	-2.007	-0.7445
3.6	1.424	2281	2.318	3.185	-2.011	-0.5218
3.7	-0.8639	2381	-1.806	3.121	-2.144	-0.7382
3.8	-1.106	2469	-1.954	3.34	-2.185	-0.9118
3.9	-0.3801	2505	-0.3095	3.388	-2.137	-0.906
