0.1	0.251725	0.00277204	0.0187795
0.2	0.368572	0.0161129	0.217194
0.3	0.500265	0.0472129	0.247898
0.4	0.575473	0.0693583	0.333781
0.5	0.642384	0.0947806	0.392967
0.6	0.68839	0.120496	0.609184
0.7	0.853409	0.243323	0.673369
0.8	0.855767	0.244601	0.754557
0.9	0.919058	0.300882	0.697748
1	0.962154	0.335831	0.656224
1.1	1.05309	0.401444	0.591159
1.2	1.11289	0.443109	0.635084
1.3	1.2063	0.499257	0.450601
1.4	1.26213	0.522852	0.354722
1.5	1.40846	0.565068	0.205481
1.6	1.49019	0.593226	0.438276
1.7	1.64709	0.653961	0.305028
1.8	1.73755	0.679651	0.256726
1.9	1.89165	0.723885	0.298397
2	1.99358	0.766361	0.490429
2.1	2.09542	0.825933	0.566992
2.2	2.28586	0.948398	0.575501
2.3	2.33905	0.981841	0.530472
2.4	2.44284	1.05158	0.641613
2.5	2.52063	1.10089	0.489775
2.6	2.57168	1.13439	0.696369
2.7	2.61732	1.17496	0.750837
2.8	2.7106	1.28194	0.94856
2.9	2.72319	1.29867	0.866986
3	2.80848	1.41836	1.04267
3.1	2.83858	1.46824	0.991538
3.2	2.95976	1.62418	0.835456
3.3	2.99176	1.66185	0.906264
3.4	3.08475	1.78466	0.938515
3.5	3.12043	1.84094	1.05711
3.6	3.21679	2.00614	1.02719
3.7	3.34248	2.20674	0.996074
3.8	3.36782	2.24862	1.17472
3.9	3.40236	2.33414	1.20373
4	3.48618	2.51504	1.0779
4.1	3.5234	2.58805	1.11393
4.2	3.5647	2.68241	1.19298
4.3	3.61988	2.84978	1.3234
4.4	3.66306	3.02743	1.34208
4.5	3.67739	3.13836	1.52258
4.6	3.67823	3.33719	1.60741
4.7	3.67229	3.42989	1.65285
4.8	3.66954	3.48571	1.58332
4.9	3.6775	3.64759	1.46002
5	3.70664	3.88431	1.43547
5.1	3.72315	4.06796	1.53052
5.2	3.72881	4.29769	1.55958
5.3	3.73397	4.44132	1.50984
5.4	3.74038	4.49486	1.36196
5.5	3.76824	4.68626	1.48938
5.6	3.77021	4.74893	1.67656
5.7	3.76013	4.8205	1.74583
5.8	3.74049	4.91785	1.79399
5.9	3.71429	5.00243	1.98051
6	3.67415	5.09254	1.99968
6.1	3.59109	5.2612	2.05693
6.2	3.56398	5.31767	1.99543
6.3	3.52805	5.39432	2.02178
6.4	3.47358	5.48059	2.24367
6.5	3.4078	5.56138	2.2677
6.6	3.30578	5.67772	2.3142
6.7	3.17965	5.82607	2.23231
6.8	3.15614	5.8651	2.00515
6.9	3.14539	5.8858	2.12868
7	3.10079	5.97758	1.91113
7.1	3.06358	6.08131	1.91895
7.2	3.06018	6.09069	1.85918
7.3	3.0388	6.18116	1.7529
7.4	3.03208	6.22858	1.66319
7.5	3.03133	6.3026	1.49082
7.6	3.05396	6.5388	1.4586
7.7	3.07827	6.69682	1.39099
7.8	3.12396	6.92881	1.36192
7.9	3.14399	7.05492	1.47507
8	3.15717	7.15382	1.39316
8.1	3.15823	7.15465	1.23872
8.2	3.1859	7.23114	1.20924
8.3	3.18762	7.23379	1.07155
8.4	3.27452	7.40057	1.10881
8.5	3.28671	7.43526	1.28329
8.6	3.35553	7.65957	1.26271
8.7	3.38439	7.7635	1.33289
8.8	3.38562	7.76926	1.50025
8.9	3.39791	7.86636	1.38695
9	3.42628	7.96419	1.17655
9.1	3.51905	8.19101	1.18869
9.2	3.5622	8.28736	1.11226
9.3	3.58943	8.33715	1.02891
9.4	3.628	8.39387	0.907592
9.5	3.66235	8.43617	0.869986
9.6	3.69482	8.47826	0.989458
9.7	3.80626	8.6403	0.947069
9.8	3.80542	8.64031	0.852404
9.9	3.90121	8.75367	0.88595
10	3.90378	8.75659	0.812418
10.1	3.98661	8.85148	0.898324
10.2	4.09152	8.98123	0.885053
10.3	4.12805	9.02927	0.943856
10.4	4.13502	9.03781	0.85482
10.5	4.19745	9.09974	0.705129
10.6	4.32493	9.22465	0.846013
